DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
Palwal,Tehsils,Hariyana,1359,1042708,69.32
Panchkula,Tehsils,Hariyana,898,561293,81.88
Panchmahal,Talukas,Gujarat,5231,2390776,70.99
Panipat,Tehsils,Hariyana,1268,1205437,75.94
Panna,Tehsils,Madhya Pradesh,7135,1016520,64.79
Papum Pare,Circles,Arunachal Pradesh,3462,176573,79.95
Parbhani,Talukas,Maharashtra,6214,1836086,73.34
Paschim Medinipur,Blocks,West Bengal,9368,5913457,78
Pashchim Champaran,Blocks,Bihar,5228,3935042,55.7
Pashchimi Singhbhum,Blocks,Jharkhand,7224,1502338,58.63
Patan,Talukas,Gujarat,5792,1343734,72.3
Pathanamthitta,Talukas,Kerala,2652,1197412,96.55
Patiala,Tehsils,Punjab,3325,1895686,75.28
Patna,Blocks,Bihar,3202,5838465,70.68
Perambalur,Talukas,Tamil Nadu,1756,565223,74.32
Peren,Circles,Nagaland,1651,95219,77.95
Phek,Circles,Nagaland,2026,163418,78.05
Pilibhit,Tehsils,Uttar Pradesh,3686,2031007,61.47
Pithoragarh,Tehsils,Uttarakhand,7090,483439,82.25
Porbandar,Talukas,Gujarat,2316,585449,75.78
Prakasam,Mandals,Andhra Pradesh,17626,3397448,63.08
Pratapgarh,Tehsils,Rajasthan,4449,867848,55.97
Pratapgarh,Tehsils,Uttar Pradesh,3717,3209141,70.09
Puducherry,Commune Panchayats,Puducherry,294,950289,85.44
Pudukkottai,Talukas,Tamil Nadu,4644,1618345,77.19
Pulwama,Tehsils,Jammu and Kashmir,1086,560440,63.48
Punch,Tehsils,Jammu and Kashmir,1674,476835,66.74
Pune,Talukas,Maharashtra,15643,9429408,86.15
Purba Champaran,Blocks,Bihar,3968,5099371,55.79
Purba Medinipur,Blocks,West Bengal,4713,5095875,87.02
Purbi Singhbhum,Blocks,Jharkhand,3562,2293919,75.49
Puri,Blocks,Odisha,3479,1698730,84.67
Purnia,Blocks,Bihar,3229,3264619,51.08
Puruliya,Blocks,West Bengal,6259,2930115,64.48
Rae Bareli,Tehsils,Uttar Pradesh,4609,3405559,67.25
Raichur,Talukas,Karnataka,8442,1928812,59.56
Raigarh,Tehsils,Chhattisgarh,7086,1493984,73.26
Raigarh,Talukas,Maharashtra,7152,2634200,83.14
Raipur,Tehsils,Chhattisgarh,12383,4063872,75.56
Raisen,Tehsils,Madhya Pradesh,8466,1331597,72.98
Rajgarh,Tehsils,Madhya Pradesh,6153,1545814,61.21
Rajkot,Talukas,Gujarat,11198,3804558,80.96
Rajnandgaon,Tehsils,Chhattisgarh,8070,1537133,75.96
Rajouri,Tehsils,Jammu and Kashmir,2630,642415,68.17
Rajsamand,Tehsils,Rajasthan,4655,1156597,63.14
Ramanagara,Talukas,Karnataka,3516,1082636,69.22
Ramanathapuram,Talukas,Tamil Nadu,4104,1353445,80.72
Ramban,Tehsils,Jammu and Kashmir,1329,283713,54.27
Ramgarh,Blocks,Jharkhand,1341,949443,73.17
Rampur,Tehsils,Uttar Pradesh,2367,2335819,53.34
Ranchi,Blocks,Jharkhand,5097,2914253,76.06
Rangareddy,Mandals,Andhra Pradesh,7493,5296741,75.87
Ratlam,Tehsils,Madhya Pradesh,4861,1455069,66.78
Ratnagiri,Talukas,Maharashtra,8208,1615069,82.18
Rayagada,Blocks,Odisha,7073,967911,49.76
Reasi,Tehsils,Jammu and Kashmir,1719,314667,58.15
Rewa,Tehsils,Madhya Pradesh,6314,2365106,71.62
Rewari,Tehsils,Hariyana,1594,900332,80.99
Ribhoi,Blocks,Meghalaya,2448,258840,75.67
Rohtak,Tehsils,Hariyana,1745,1061204,80.22
Rohtas,Blocks,Bihar,3881,2959918,73.37
Rudraprayag,Tehsils,Uttarakhand,1984,242285,81.3
Rupnagar,Tehsils,Punjab,1356,684627,82.19
Sabarkantha,Talukas,Gujarat,7394,2428589,75.79
Sagar,Tehsils,Madhya Pradesh,10252,2378458,76.46
Saharanpur,Tehsils,Uttar Pradesh,3689,3466382,70.49
Saharsa,Blocks,Bihar,1687,1900661,53.2
Sahibganj,Blocks,Jharkhand,2063,1150567,52.04
Sahibzada Ajit Singh Nagar,Tehsils,Punjab,1094,994628,83.8
Saiha,Blocks,Mizoram,1399,56574,90.01
Salem,Talukas,Tamil Nadu,5237,3482056,72.86
Samastipur,Blocks,Bihar,2904,4261566,61.86
Samba,Tehsils,Jammu and Kashmir,904,318898,81.41
Sambalpur,Blocks,Odisha,6624,1041099,76.22
Sangli,Talukas,Maharashtra,8572,2822143,81.48
Sangrur,Tehsils,Punjab,3625,1655169,67.99
Sant Kabir Nagar,Tehsils,Uttar Pradesh,1646,1715183,66.72
Sant Ravidas Nagar,Tehsils,Uttar Pradesh,1015,1578213,68.97
Saraikela-Kharsawan,Blocks,Jharkhand,2657,1065056,67.7
Saran,Blocks,Bihar,2641,3951862,65.96
Satara,Talukas,Maharashtra,10480,3003741,82.87
Satna,Tehsils,Madhya Pradesh,7502,2228935,72.26
Sawai Madhopur,Tehsils,Rajasthan,4498,1335551,65.39
Sehore,Tehsils,Madhya Pradesh,6578,1311332,70.06
Senapati,Sub-Divisions,Manipur,3271,479148,63.6
Seoni,Tehsils,Madhya Pradesh,8758,1379131,72.12
Serchhip,Blocks,Mizoram,1421,64937,97.91
Shahdol,Tehsils,Madhya Pradesh,6205,1066063,66.67
Shahid Bhagat Singh Nagar,Tehsils,Punjab,1282,612310,79.78
Shahjahanpur,Tehsils,Uttar Pradesh,4388,3006538,59.54
Shajapur,Tehsils,Madhya Pradesh,6195,1512681,69.09
Sheikhpura,Blocks,Bihar,689,636342,63.86
Sheohar,Blocks,Bihar,349,656246,53.78
Sheopur,Tehsils,Madhya Pradesh,6606,687861,57.43
Shimla,Tehsils,Himachal Pradesh,5131,814010,83.64
Shimoga,Talukas,Karnataka,8478,1752753,80.45
Shivpuri,Tehsils,Madhya Pradesh,10066,1726050,62.55
Shrawasti,Tehsils,Uttar Pradesh,1640,1117361,46.74
Shupiyan,Tehsils,Jammu and Kashmir,312,266215,60.76
Siddharthnagar,Tehsils,Uttar Pradesh,2895,2559297,59.25
Sidhi,Tehsils,Madhya Pradesh,4851,1127033,64.43
Sikar,Tehsils,Rajasthan,7732,2677333,71.91
Simdega,Blocks,Jharkhand,3774,599578,67.99
Sindhudurg,Talukas,Maharashtra,5207,849651,85.56
Singrauli,Tehsils,Madhya Pradesh,5675,1178273,60.41
Sirmaur,Tehsils,Himachal Pradesh,2825,529855,78.8
Sirohi,Tehsils,Rajasthan,5136,1036346,55.25
Sirsa,Tehsils,Hariyana,4277,1295189,68.82
Sitamarhi,Blocks,Bihar,2294,3423574,52.05
Sitapur,Tehsils,Uttar Pradesh,5743,4483992,61.12
Sivaganga,Talukas,Tamil Nadu,4233,1339101,79.85
Sivasagar,Circles,Assam,2668,1151050,80.41
Siwan,Blocks,Bihar,2219,3330464,69.45
Solan,Tehsils,Himachal Pradesh,1936,580320,83.68
Solapur,Talukas,Maharashtra,14895,4317756,77.02
Sonbhadra,Tehsils,Uttar Pradesh,6905,1862559,64.03
Sonipat,Tehsils,Hariyana,2122,1450001,79.12
Sonitpur,Circles,Assam,5204,1924110,67.34
South,Tehsils,Delhi,247,2731929,86.57
South Andaman,Tehsils,Andaman and Nicobar,2672,238142,89.13
South District,Sub-Divisions,Sikkim,750,146850,81.42
South Garo Hills,Blocks,Meghalaya,1887,142334,71.72
South Goa,Talukas,Goa,1966,640537,87.59
South Tripura,Blocks,Tripura,3057,876001,84.66
South Twenty Four Parganas,Blocks,West Bengal,9960,8161961,77.51
South West,Tehsils,Delhi,421,2292958,88.28
Sri Potti Sriramulu Nellore,Mandals,Andhra Pradesh,13076,2963557,68.9
Srikakulam,Mandals,Andhra Pradesh,5837,2703114,61.74
Srinagar,Tehsils,Jammu and Kashmir,1979,1236829,69.41
Subarnapur,Blocks,Odisha,2337,610183,74.42
Sultanpur,Tehsils,Uttar Pradesh,4436,3797117,69.27
Sundargarh,Blocks,Odisha,9712,2093437,73.34
Supaul,Blocks,Bihar,2425,2229076,57.67
Surat,Talukas,Gujarat,4549,6081322,85.53
Surendranagar,Talukas,Gujarat,10423,1756268,72.13
Surguja,Tehsils,Chhattisgarh,15732,2359886,60.01
Tamenglong,Sub-Divisions,Manipur,4391,140651,70.05
Tapi,Talukas,Gujarat,3139,807022,68.26
Tarn Taran,Tehsils,Punjab,2414,1119627,67.81
Tawang,Circles,Arunachal Pradesh,2172,49977,59
Tehri Garhwal,Tehsils,Uttarakhand,3642,618931,76.36
Thane,Talukas,Maharashtra,9558,11060148,84.53
Thanjavur,Talukas,Tamil Nadu,3411,2405890,82.64
The Dangs,Talukas,Gujarat,1766,228291,75.16
The Nilgiris,Talukas,Tamil Nadu,2565,735394,85.2
Theni,Talukas,Tamil Nadu,2868,1245899,77.26
Thiruvallur,Talukas,Tamil Nadu,3394,3728104,84.03
Thiruvananthapuram,Talukas,Kerala,2189,3301427,93.02
Thiruvarur,Talukas,Tamil Nadu,2274,1264277,82.86
Thoothukkudi,Talukas,Tamil Nadu,4745,1750176,86.16
Thoubal,Sub-Divisions,Manipur,514,422168,74.47
